9.839460712860532254e+00,9.837552748202847752e+00,9.837431841155867218e+00,9.837430959842278000e+00,9.837430899204841594e+00
1.020219768152984230e+01,1.019876098189733860e+01,1.019843481942039709e+01,1.019842993098118278e+01,1.019842838299865306e+01
1.020220177932733918e+01,1.019876116034243374e+01,1.019843561258863751e+01,1.019843038197718599e+01,1.019842929491036188e+01
1.056657171132783901e+01,1.056131129411177838e+01,1.056065218399650441e+01,1.056063558692186355e+01,1.056063460555310662e+01
1.056657245567126857e+01,1.056131221402339015e+01,1.056065330824717563e+01,1.056063683128020791e+01,1.056063600119792767e+01
1.056781797899676967e+01,1.056237992290012251e+01,1.056154700230642796e+01,1.056143932773386496e+01,1.056133677629133061e+01
1.075506549490375541e+01,1.074059075771588034e+01,1.073818292177007372e+01,1.073811037485139863e+01,1.073810213711833406e+01
1.087869429115021092e+01,1.087247005502279151e+01,1.087166631996996990e+01,1.087161039755024383e+01,1.087159604126728674e+01
1.087875910049647210e+01,1.087247687188478018e+01,1.087167040897000803e+01,1.087161515627817465e+01,1.087160155075604706e+01
1.093249161016573900e+01,1.092518383837539631e+01,1.092406859393474150e+01,1.092402589117293310e+01,1.092402267787356429e+01
1.093249731935825686e+01,1.092518415511811547e+01,1.092406917708547276e+01,1.092402640557522631e+01,1.092402313709302675e+01
1.093500799276955426e+01,1.092734648970774813e+01,1.092586647554121093e+01,1.092563488822564821e+01,1.092536877253353289e+01
1.093501378937230939e+01,1.092734975434487232e+01,1.092587092150036199e+01,1.092563944450965430e+01,1.092537161552783154e+01
1.111839746603135382e+01,1.110092718632143871e+01,1.109741623920698750e+01,1.109726890835143109e+01,1.109725185776790646e+01
1.111903647547696572e+01,1.110105905357319322e+01,1.109742068604476550e+01,1.109726984359062918e+01,1.109725312163140920e+01
1.123633367975024910e+01,1.122805052592252473e+01,1.122687384240577479e+01,1.122671948844742573e+01,1.122667018883797319e+01
1.124194809957283248e+01,1.123377292672420680e+01,1.123253218038612467e+01,1.123240488063060916e+01,1.123238002105019895e+01
1.124195047837585548e+01,1.123378388505324388e+01,1.123253914004473941e+01,1.123241042196404571e+01,1.123239101206653245e+01
1.124201394143971022e+01,1.123387033132808099e+01,1.123260204674658347e+01,1.123248598826508271e+01,1.123246796108090528e+01
1.124541008806636277e+01,1.123693457275601837e+01,1.123562199266637229e+01,1.123544726812403560e+01,1.123538954556255298e+01
1.129993079285730495e+01,1.129036793668784178e+01,1.128867870606988433e+01,1.128858590983252697e+01,1.128857794354593658e+01
1.129994454523413872e+01,1.129036949576602566e+01,1.128867961536143660e+01,1.128858638916962853e+01,1.128857830013912533e+01
1.130372382708017120e+01,1.129365806564104702e+01,1.129141093658028083e+01,1.129104065820576785e+01,1.129057875966774915e+01
1.130375410505049949e+01,1.129366374543816498e+01,1.129141294857155842e+01,1.129104257351025531e+01,1.129058542169136281e+01
1.130499789444867886e+01,1.129475355594319019e+01,1.129230770581195564e+01,1.129181969711648215e+01,1.129120603758165409e+01
1.132868933214916396e+01,1.132148212466832327e+01,1.132070648396966384e+01,1.132061537572001697e+01,1.132060498071508192e+01
1.132869067855350309e+01,1.132148379114059900e+01,1.132070780830688150e+01,1.132062191753781910e+01,1.132060845439174201e+01
1.148379440182295852e+01,1.146272031681436765e+01,1.145786453739099642e+01,1.145763711459348677e+01,1.145760858511290436e+01
1.148424883171670530e+01,1.146276581771249070e+01,1.145786903846454763e+01,1.145763852765223767e+01,1.145761048866926757e+01
1.148608945093808131e+01,1.146444689366663638e+01,1.145918941024023141e+01,1.145879098731655965e+01,1.145853526139690537e+01
1.159869537158487418e+01,1.158916799577118439e+01,1.158765855882608520e+01,1.158746687862888436e+01,1.158740673178671088e+01
1.159873525083079393e+01,1.158920458787900110e+01,1.158767960926032892e+01,1.158747330008424647e+01,1.158741627957727971e+01
1.160665734802776683e+01,1.159640911756833681e+01,1.159460840617472677e+01,1.159441796856809148e+01,1.159436747483544572e+01
1.160673085437312047e+01,1.159649578347234211e+01,1.159466393512366267e+01,1.159444499532088457e+01,1.159439507999270802e+01
1.160754916781710477e+01,1.159726881235199869e+01,1.159537068199504262e+01,1.159509853877839447e+01,1.159500396365695885e+01
