9.839468936313975789e+00,9.837566893558872039e+00,9.837445834157545477e+00,9.837444457002089138e+00,9.837444373576991197e+00
1.020222883726574636e+01,1.019877602725834009e+01,1.019845366956363719e+01,1.019844854813937651e+01,1.019844823580247173e+01
1.020223008956673816e+01,1.019878017772756706e+01,1.019845559238676103e+01,1.019845072126552132e+01,1.019845033281281843e+01
1.056651499999855837e+01,1.056131003197885043e+01,1.056067552130835097e+01,1.056065826557586007e+01,1.056065744866065792e+01
1.056655793418520339e+01,1.056132756156886110e+01,1.056067834640751713e+01,1.056066092169409565e+01,1.056066000716011999e+01
1.056780657985219385e+01,1.056239834976822323e+01,1.056159500287898112e+01,1.056149912978010796e+01,1.056141112944566274e+01
1.075293867638271195e+01,1.074024765025711048e+01,1.073819723879230459e+01,1.073814444670653145e+01,1.073813745935435726e+01
1.087865477593675934e+01,1.087247273956685589e+01,1.087168951207979539e+01,1.087162655302681635e+01,1.087160979852950859e+01
1.087868289076837591e+01,1.087248286278122755e+01,1.087169792031803617e+01,1.087163236227515917e+01,1.087161721904902301e+01
1.093248368979363683e+01,1.092519093720162360e+01,1.092409313129777537e+01,1.092404851476060657e+01,1.092404503453546738e+01
1.093249881580267768e+01,1.092519369853370748e+01,1.092409458275596457e+01,1.092404950818934495e+01,1.092404600723690855e+01
1.093500084389907911e+01,1.092737299038737575e+01,1.092593114233403639e+01,1.092572086150661015e+01,1.092549989329129545e+01
1.093501348913244975e+01,1.092737857519233557e+01,1.092593731569568938e+01,1.092572819763307557e+01,1.092553418828705070e+01
1.111647244441136451e+01,1.110053428061413250e+01,1.109730258289139471e+01,1.109719878005127036e+01,1.109718544595922118e+01
1.111791990564681498e+01,1.110085660218851267e+01,1.109740854652500985e+01,1.109729320627875104e+01,1.109727953469751860e+01
1.123507929304259712e+01,1.122810741551841573e+01,1.122707516533513861e+01,1.122694954622632402e+01,1.122690995833624683e+01
1.124189986966163346e+01,1.123377628373463111e+01,1.123255893476140699e+01,1.123243801463918601e+01,1.123239742586926226e+01
1.124191828556452677e+01,1.123380614098128660e+01,1.123259898669878787e+01,1.123247293844499239e+01,1.123243549190576296e+01
1.124201693810725367e+01,1.123387635935527662e+01,1.123266608918945941e+01,1.123254899182612476e+01,1.123252050281108794e+01
1.124459440215723660e+01,1.123703399856202267e+01,1.123582349263740277e+01,1.123568571312723385e+01,1.123563050680815145e+01
1.129987874437773065e+01,1.129036747370248861e+01,1.128870483861045138e+01,1.128860896747700515e+01,1.128859659442660579e+01
1.129989347651551945e+01,1.129037359759611192e+01,1.128870593460987415e+01,1.128861035438016636e+01,1.128859957298379690e+01
1.130371600927181319e+01,1.129368287726504327e+01,1.129148958544783810e+01,1.129114626006699318e+01,1.129079932494322591e+01
1.130373640865795082e+01,1.129368842769613934e+01,1.129149840272895311e+01,1.129115023963957576e+01,1.129081911001589411e+01
1.130500540678997545e+01,1.129479321796562985e+01,1.129241041736785611e+01,1.129196012132270077e+01,1.129155449684638768e+01
1.132856088903515079e+01,1.132150563258984377e+01,1.132072641487306441e+01,1.132063659353831220e+01,1.132062565897003381e+01
1.132867958159908817e+01,1.132156591789652111e+01,1.132080119378319338e+01,1.132070965528563633e+01,1.132068962894616249e+01
1.148194963746018793e+01,1.146246665474165383e+01,1.145775253550900530e+01,1.145755559074673968e+01,1.145753040653510446e+01
1.148267199688698348e+01,1.146252040567913966e+01,1.145782625998110582e+01,1.145760474725945421e+01,1.145757783572516786e+01
1.148384225305371587e+01,1.146391360443366025e+01,1.145894435196617955e+01,1.145858151773708933e+01,1.145833318014774882e+01
1.159787043306230458e+01,1.158927846014809937e+01,1.158786933801611596e+01,1.158767748968294953e+01,1.158761925001282656e+01
1.159798405360795392e+01,1.158930343490350623e+01,1.158788056154583757e+01,1.158768826854802114e+01,1.158762967642795161e+01
1.160663306023891828e+01,1.159640049440965548e+01,1.159463256108248608e+01,1.159443399363546412e+01,1.159437989145762238e+01
1.160672070628283237e+01,1.159640898964724620e+01,1.159464764669779768e+01,1.159444611347482912e+01,1.159440299806426111e+01
1.160747112071453024e+01,1.159725635826414702e+01,1.159536913161413629e+01,1.159512066064474212e+01,1.159501353501116405e+01
