 (9.837430899084633751e+00+0.000000000000000000e+00j), (9.837412332843999963e+00+0.000000000000000000e+00j), (9.837407365549916349e+00+0.000000000000000000e+00j), (9.837407513155213223e+00+0.000000000000000000e+00j), (9.837407252506164212e+00+0.000000000000000000e+00j), (9.837407447607462885e+00+0.000000000000000000e+00j)
 (1.019842780598623300e+01+0.000000000000000000e+00j), (1.019839824199447342e+01+0.000000000000000000e+00j), (1.019839786187539943e+01+0.000000000000000000e+00j), (1.019839790735759877e+01+0.000000000000000000e+00j), (1.019839808726512764e+01+0.000000000000000000e+00j), (1.019839808457222219e+01+0.000000000000000000e+00j)
 (1.019842915258624849e+01+0.000000000000000000e+00j), (1.019840751649042510e+01+0.000000000000000000e+00j), (1.019839881604260690e+01+0.000000000000000000e+00j), (1.019839855213972868e+01+0.000000000000000000e+00j), (1.019839831019766585e+01+0.000000000000000000e+00j), (1.019839825465621530e+01+0.000000000000000000e+00j)
 (1.056063447717865778e+01+0.000000000000000000e+00j), (1.056058891216469853e+01+0.000000000000000000e+00j), (1.056058849888360918e+01+0.000000000000000000e+00j), (1.056058850335531218e+01+0.000000000000000000e+00j), (1.056058847452706217e+01+0.000000000000000000e+00j), (1.056058846284266650e+01+0.000000000000000000e+00j)
 (1.056063589623538235e+01+0.000000000000000000e+00j), (1.056060353591819378e+01+0.000000000000000000e+00j), (1.056058947678781479e+01+0.000000000000000000e+00j), (1.056058872023499973e+01+0.000000000000000000e+00j), (1.056058867698724590e+01+0.000000000000000000e+00j), (1.056058867653656996e+01+0.000000000000000000e+00j)
 (1.056132929570701506e+01+0.000000000000000000e+00j), (1.056127996568094218e+01+0.000000000000000000e+00j), (1.056124314088444471e+01+0.000000000000000000e+00j), (1.056123834667158157e+01+0.000000000000000000e+00j), (1.056123727405597279e+01+0.000000000000000000e+00j), (1.056123649350303317e+01+0.000000000000000000e+00j)
 (1.073810191062752750e+01+0.000000000000000000e+00j), (1.073806886340963729e+01+0.000000000000000000e+00j), (1.073806785145116649e+01+0.000000000000000000e+00j), (1.073806770372475228e+01+0.000000000000000000e+00j), (1.073806821370779652e+01+0.000000000000000000e+00j), (1.073806793733457354e+01+0.000000000000000000e+00j)
 (1.087159236142717234e+01+0.000000000000000000e+00j), (1.087153417274602063e+01+0.000000000000000000e+00j), (1.087153357869533821e+01+0.000000000000000000e+00j), (1.087153350500423343e+01+0.000000000000000000e+00j), (1.087153368947600818e+01+0.000000000000000000e+00j), (1.087153362425363312e+01+0.000000000000000000e+00j)
 (1.087159586313858917e+01+0.000000000000000000e+00j), (1.087153408948901934e+01+0.000000000000000000e+00j), (1.087153382109958422e+01+0.000000000000000000e+00j), (1.087153336484004917e+01+0.000000000000000000e+00j), (1.087153326664225261e+01+0.000000000000000000e+00j), (1.087152987422065209e+01+0.000000000000000000e+00j)
 (1.092402193182744163e+01+0.000000000000000000e+00j), (1.092396334498273625e+01+0.000000000000000000e+00j), (1.092396229148322639e+01+0.000000000000000000e+00j), (1.092396222313552201e+01+0.000000000000000000e+00j), (1.092396218286674880e+01+0.000000000000000000e+00j), (1.092396223982489367e+01+0.000000000000000000e+00j)
 (1.092402285944964646e+01+0.000000000000000000e+00j), (1.092396241229211107e+01+0.000000000000000000e+00j), (1.092396209463898948e+01+0.000000000000000000e+00j), (1.092396204683004335e+01+0.000000000000000000e+00j), (1.092396210783174304e+01+0.000000000000000000e+00j), (1.092396204253724079e+01+0.000000000000000000e+00j)
 (1.092534473885292989e+01+0.000000000000000000e+00j), (1.092518988725858442e+01+0.000000000000000000e+00j), (1.092518886557069635e+01+0.000000000000000000e+00j), (1.092518861602999891e+01+0.000000000000000000e+00j), (1.092518848203635962e+01+0.000000000000000000e+00j), (1.092518841167891530e+01+0.000000000000000000e+00j)
 (1.092534947525606448e+01+0.000000000000000000e+00j), (1.092519042088039960e+01+0.000000000000000000e+00j), (1.092518905803883200e+01+0.000000000000000000e+00j), (1.092518856671581418e+01+0.000000000000000000e+00j), (1.092518834202613398e+01+0.000000000000000000e+00j), (1.092518821279763763e+01+0.000000000000000000e+00j)
 (1.109725155855406697e+01+0.000000000000000000e+00j), (1.109722507447402151e+01+0.000000000000000000e+00j), (1.109722207655903681e+01+0.000000000000000000e+00j), (1.109722212158508015e+01+0.000000000000000000e+00j), (1.109722193153823966e+01+0.000000000000000000e+00j), (1.109722147869719144e+01+0.000000000000000000e+00j)
 (1.109725241305259935e+01+0.000000000000000000e+00j), (1.109722515136166088e+01+0.000000000000000000e+00j), (1.109722198462464249e+01+0.000000000000000000e+00j), (1.109729115097445273e+01+0.000000000000000000e+00j), (1.109722204043309191e+01+0.000000000000000000e+00j), (1.109722025415325497e+01+0.000000000000000000e+00j)
 (1.122666670164973901e+01+0.000000000000000000e+00j), (1.122641202589998777e+01+0.000000000000000000e+00j), (1.122640693851117888e+01+0.000000000000000000e+00j), (1.122640549612405891e+01+0.000000000000000000e+00j), (1.122640632520062098e+01+0.000000000000000000e+00j), (1.122640558048804493e+01+0.000000000000000000e+00j)
 (1.123230948968164000e+01+0.000000000000000000e+00j), (1.123211183965474369e+01+0.000000000000000000e+00j), (1.123210493059396597e+01+0.000000000000000000e+00j), (1.123210399449679286e+01+0.000000000000000000e+00j), (1.123210410703715390e+01+0.000000000000000000e+00j), (1.123210398197604398e+01+0.000000000000000000e+00j)
 (1.123233048168498094e+01+0.000000000000000000e+00j), (1.123211386651172816e+01+0.000000000000000000e+00j), (1.123210626314122962e+01+0.000000000000000000e+00j), (1.123210483134464610e+01+0.000000000000000000e+00j), (1.123210436524955647e+01+0.000000000000000000e+00j), (1.123210451437932456e+01+0.000000000000000000e+00j)
 (1.123245661226899372e+01+0.000000000000000000e+00j), (1.123231638242773478e+01+0.000000000000000000e+00j), (1.123231449376925184e+01+0.000000000000000000e+00j), (1.123231468192969906e+01+0.000000000000000000e+00j), (1.123231452762939142e+01+0.000000000000000000e+00j), (1.123231445401671813e+01+0.000000000000000000e+00j)
 (1.123537565538365257e+01+0.000000000000000000e+00j), (1.123512809758831033e+01+0.000000000000000000e+00j), (1.123512593711298102e+01+0.000000000000000000e+00j), (1.123512543868270797e+01+0.000000000000000000e+00j), (1.123512512939641894e+01+0.000000000000000000e+00j), (1.123512482933681156e+01+0.000000000000000000e+00j)
 (1.128857677909639179e+01+0.000000000000000000e+00j), (1.128850478244359223e+01+0.000000000000000000e+00j), (1.128850383765741583e+01+0.000000000000000000e+00j), (1.128850387570800073e+01+0.000000000000000000e+00j), (1.128850386836361608e+01+0.000000000000000000e+00j), (1.128850387811164957e+01+0.000000000000000000e+00j)
 (1.128857805117805135e+01+0.000000000000000000e+00j), (1.128850573426206338e+01+0.000000000000000000e+00j), (1.128850408725395660e+01+0.000000000000000000e+00j), (1.128850393083352266e+01+0.000000000000000000e+00j), (1.128850389844809499e+01+0.000000000000000000e+00j), (1.128850396557177405e+01+0.000000000000000000e+00j)
 (1.129053302613417742e+01+0.000000000000000000e+00j), (1.129024123713855055e+01+0.000000000000000000e+00j), (1.129023880663865853e+01+0.000000000000000000e+00j), (1.129023780168559021e+01+0.000000000000000000e+00j), (1.129023752965333038e+01+0.000000000000000000e+00j), (1.129023739500523682e+01+0.000000000000000000e+00j)
 (1.129053557239401151e+01+0.000000000000000000e+00j), (1.129023897263346043e+01+0.000000000000000000e+00j), (1.129023833913064223e+01+0.000000000000000000e+00j), (1.129023771004969490e+01+0.000000000000000000e+00j), (1.129023750137147886e+01+0.000000000000000000e+00j), (1.129023734758495401e+01+0.000000000000000000e+00j)
