Energy_Level,MPS_LOBPCG_12,ThreeTree_LOBPCG_12,LeafOnly_LOBPCG_12,Fork3_LOBPCG_12,Fork4_LOBPCG_12,Fork6_LOBPCG_12,T3NS_LOBPCG_12,MPS_II_20,ThreeTree_II_20,LeafOnly_II_20,Fork3_II_20,Fork4_II_20,Fork6_II_20,T3NS_II_20,Ref
65,2121.8273877859847,2121.869217790314,2121.7645707872907,2121.846746921301,2121.858518679921,2121.499797739407,2121.861739617403,2120.968166822431,2120.9523061560994,2121.0331818160757,2120.957660201142,2120.9545723092197,2120.9190959624993,2120.9541368524133,2120.889
66,2123.7617066070125,2123.6097203698373,2123.644074198706,2123.621764051848,2123.6337587564867,2123.5816584768163,2123.8175392708617,2122.9936646844453,2122.939685605539,2122.985723840193,2122.941060544754,2122.906519610009,2122.906990168618,2122.9733917002595,2122.816
67,2123.88279296978,2123.6961491500188,2123.6589112388174,2123.760168939447,2123.694408509198,2123.5958021622882,2123.8732004015947,2123.0004184062745,2122.940059935836,2122.9946128217252,2122.9748388276585,2122.910185335093,2122.911206931016,2122.9925960000583,2122.816
68,2124.733484966042,2124.554160531623,2124.3054418920347,2124.5466216420937,2124.6036290925967,2124.472984473863,2124.7062198360945,2123.531150649971,2123.4760960622443,2123.4665266005013,2123.480018131002,2123.431507394507,2123.4334519400854,2123.5374334354747,2123.282
69,2142.0140149933995,2141.9850759458714,2142.0571592182114,2141.924232958385,2142.105645096304,2141.9655902998693,2142.1107693426366,2142.4120313675685,2142.3922493792506,2142.381482848272,2142.393789857604,2142.4094140418565,2142.3997964492155,2142.423446977791,2142.444
70,2142.0653265388955,2141.991921709463,2142.1182281769616,2141.950715852159,2142.1087263570535,2141.9792943173725,2142.1696438276485,2142.413396250402,2142.3944212533515,2142.407086607889,2142.3955498215855,2142.4120946289313,2142.4009971167125,2142.4322698856813,2142.444
71,2183.7055569818403,2183.709530784163,2183.702001988886,2183.713312170612,2183.6715945880005,2183.6858807474237,2183.7208515297243,2183.625134366637,2183.623863156523,2183.625542025333,2183.6238761342483,2183.622871860751,2183.622761499113,2183.636399412482,2183.617
72,2183.7090734894573,2183.7103992273715,2183.702212536571,2183.7146542804367,2183.6734432147387,2183.687720881524,2183.7214462943757,2183.6251801053622,2183.624268163603,2183.6257297436077,2183.624097065611,2183.622897375344,2183.6228375943356,2183.637249035868,2183.617
73,2187.1293922560035,2187.0430634495588,2186.926151730413,2187.135159669104,2187.044782418676,2187.0509009293874,2187.4545717332057,2186.157684512171,2186.1432996397652,2186.124661187616,2186.1439875032884,2186.1397230145667,2186.1459446139997,2186.168646202408,2186.117
74,2187.1347821997006,2187.0730529670054,2187.059741931642,2187.1426935088693,2187.0498382774604,2187.0694025564844,2187.5062884604777,2186.1578188087296,2186.143353171032,2186.125035830568,2186.1442323854935,2186.140016000896,2186.146442963207,2186.1703824654396,2186.117
75,2188.8997194772164,2188.852953311496,2188.550153342072,2188.9633962208645,2188.884317079368,2188.867157849045,2189.214278309284,2187.671537799064,2187.6534462069303,2187.627564078357,2187.6536511815975,2187.648063961322,2187.6574958446763,2187.686631295015,2187.618
76,2188.926262244875,2188.889343691826,2189.1282580531188,2188.9940948914336,2188.913195620804,2188.8925779485435,2189.571410759545,2187.673410936557,2187.655927550006,2187.627745874688,2187.6561205722555,2187.6490145077096,2187.6589164621764,2187.689672583567,2187.618
77,2189.5506877256757,2189.4937923135712,2189.3980806927902,2189.5560325524,2189.4914476357553,2189.5497672005677,2190.1087208036806,2188.1760039863657,2188.159109896862,2188.1289408703306,2188.160571081353,2188.1536640587437,2188.161509190446,2188.196799531097,2188.119
78,2206.6368484762534,2206.6882932536373,2206.8410611997315,2206.702517002028,2206.578593287304,2206.7273106973807,2206.5818483572166,2206.7362393396415,2206.723700795188,2206.7077740144287,2206.720451807314,2206.651445255524,2206.741931716908,2206.723200102353,2206.608
79,2206.8162348274163,2206.7595917175186,2206.9022751630037,2206.7286502504667,2206.731737573642,2206.8116290506914,2206.9174276635767,2206.742616843376,2206.7451777374918,2206.761403494791,2206.7230716031863,2206.6987647859332,2206.74486109172,2206.7299661238667,2206.615
80,2206.8870365996245,2206.819163982611,2206.9567531479424,2206.7889335754753,2206.781605834236,2206.9371174428015,2206.9715580779957,2206.747207035345,2206.750859779124,2206.8135748461955,2206.744355179526,2206.707021363065,2206.7546491424146,2206.7548319056696,2206.757
81,2206.9768839293993,2206.9155478230605,2206.9740890842622,2206.856892943588,2206.954380980629,2207.011758048344,2207.013980732134,2206.7655938161133,2206.7559312706435,2206.8949384625757,2206.77392473884,2206.784299949595,2206.8069858034723,2206.7852980868865,2206.758
82,2207.7660429746575,2207.796060847839,2207.798366370338,2207.9006214216042,2207.6818929724177,2207.758796733815,2208.118371087565,2207.5597998546273,2207.614265273205,2207.5990516727325,2207.5763236670227,2207.5486494047273,2207.5317418990817,2207.6045090502703,2207.541
83,2207.7885271871055,2207.8069028592236,2207.8183689626603,2207.923876572406,2207.738884796123,2207.7828596565396,2208.1512069966648,2207.6290400677226,2207.635369883099,2207.607705088205,2207.6162545263905,2207.5562106007637,2207.6042761688495,2207.646337635517,2207.541
