 (9.837432795107257988e+00+0.000000000000000000e+00j), (9.837410056335123443e+00+0.000000000000000000e+00j), (9.837407577068731257e+00+0.000000000000000000e+00j), (9.837407317907230109e+00+0.000000000000000000e+00j), (9.837407498125074312e+00+0.000000000000000000e+00j), (9.837407230543428582e+00+0.000000000000000000e+00j)
 (1.019843373572216727e+01+0.000000000000000000e+00j), (1.019840116416292375e+01+0.000000000000000000e+00j), (1.019839833575134591e+01+0.000000000000000000e+00j), (1.019839828906046186e+01+0.000000000000000000e+00j), (1.019839826720025933e+01+0.000000000000000000e+00j), (1.019839825360768515e+01+0.000000000000000000e+00j)
 (1.019843466124653730e+01+0.000000000000000000e+00j), (1.019840204605860912e+01+0.000000000000000000e+00j), (1.019839859155993977e+01+0.000000000000000000e+00j), (1.019839843946114755e+01+0.000000000000000000e+00j), (1.019839838320298497e+01+0.000000000000000000e+00j), (1.019839834917389254e+01+0.000000000000000000e+00j)
 (1.056063933770444052e+01+0.000000000000000000e+00j), (1.056059461383170550e+01+0.000000000000000000e+00j), (1.056058921098394521e+01+0.000000000000000000e+00j), (1.056058886721139345e+01+0.000000000000000000e+00j), (1.056058876348026132e+01+0.000000000000000000e+00j), (1.056058872811465932e+01+0.000000000000000000e+00j)
 (1.056064270807134875e+01+0.000000000000000000e+00j), (1.056059423782457429e+01+0.000000000000000000e+00j), (1.056058888331131840e+01+0.000000000000000000e+00j), (1.056058872284344829e+01+0.000000000000000000e+00j), (1.056058868449518329e+01+0.000000000000000000e+00j), (1.056058867398193968e+01+0.000000000000000000e+00j)
 (1.056133791717704185e+01+0.000000000000000000e+00j), (1.056124025510566966e+01+0.000000000000000000e+00j), (1.056123979620406672e+01+0.000000000000000000e+00j), (1.056123959506383692e+01+0.000000000000000000e+00j), (1.056123944503311307e+01+0.000000000000000000e+00j), (1.056123946036405137e+01+0.000000000000000000e+00j)
 (1.073810950541653852e+01+0.000000000000000000e+00j), (1.073807622790643457e+01+0.000000000000000000e+00j), (1.073807235399116600e+01+0.000000000000000000e+00j), (1.073807171862985399e+01+0.000000000000000000e+00j), (1.073807157764188425e+01+0.000000000000000000e+00j), (1.073807150549070855e+01+0.000000000000000000e+00j)
 (1.087157725377852913e+01+0.000000000000000000e+00j), (1.087153553127410177e+01+0.000000000000000000e+00j), (1.087153413318950257e+01+0.000000000000000000e+00j), (1.087153412586490475e+01+0.000000000000000000e+00j), (1.087153408796837262e+01+0.000000000000000000e+00j), (1.087153401334822078e+01+0.000000000000000000e+00j)
 (1.087157365792679897e+01+0.000000000000000000e+00j), (1.087153513705204588e+01+0.000000000000000000e+00j), (1.087153444774782507e+01+0.000000000000000000e+00j), (1.087153454372069561e+01+0.000000000000000000e+00j), (1.087153442677890602e+01+0.000000000000000000e+00j), (1.087153437936512113e+01+0.000000000000000000e+00j)
 (1.092402512749425370e+01+0.000000000000000000e+00j), (1.092396508811916078e+01+0.000000000000000000e+00j), (1.092396265193405114e+01+0.000000000000000000e+00j), (1.092396242447921750e+01+0.000000000000000000e+00j), (1.092396246840042906e+01+0.000000000000000000e+00j), (1.092396247765762674e+01+0.000000000000000000e+00j)
