 (9.837426335268714794e+00+0.000000000000000000e+00j), (9.837421889131741537e+00+0.000000000000000000e+00j), (9.837413788115444646e+00+0.000000000000000000e+00j), (9.837409929792983121e+00+0.000000000000000000e+00j), (9.837406935350870185e+00+0.000000000000000000e+00j), (9.837406640854728934e+00+0.000000000000000000e+00j)
 (1.019842896547369371e+01+0.000000000000000000e+00j), (1.019842693915763832e+01+0.000000000000000000e+00j), (1.019839827762903539e+01+0.000000000000000000e+00j), (1.019839750657979671e+01+0.000000000000000000e+00j), (1.019839729210605661e+01+0.000000000000000000e+00j), (1.019839741046298442e+01+0.000000000000000000e+00j)
 (1.019842883749647733e+01+0.000000000000000000e+00j), (1.019842783961516020e+01+0.000000000000000000e+00j), (1.019839778911572736e+01+0.000000000000000000e+00j), (1.019839765175984958e+01+0.000000000000000000e+00j), (1.019839755404995074e+01+0.000000000000000000e+00j), (1.019839749861721145e+01+0.000000000000000000e+00j)
 (1.056062876154902241e+01+0.000000000000000000e+00j), (1.056062827585206243e+01+0.000000000000000000e+00j), (1.056059032310280976e+01+0.000000000000000000e+00j), (1.056058870265736260e+01+0.000000000000000000e+00j), (1.056058845309792282e+01+0.000000000000000000e+00j), (1.056058834220007370e+01+0.000000000000000000e+00j)
 (1.056063109845377745e+01+0.000000000000000000e+00j), (1.056063007005655052e+01+0.000000000000000000e+00j), (1.056059004476348662e+01+0.000000000000000000e+00j), (1.056058875816811238e+01+0.000000000000000000e+00j), (1.056058867097308607e+01+0.000000000000000000e+00j), (1.056058860664249721e+01+0.000000000000000000e+00j)
 (1.056129706196478502e+01+0.000000000000000000e+00j), (1.056127361072052295e+01+0.000000000000000000e+00j), (1.056123921955076028e+01+0.000000000000000000e+00j), (1.056123466290878277e+01+0.000000000000000000e+00j), (1.056123450204183989e+01+0.000000000000000000e+00j), (1.056123462342162433e+01+0.000000000000000000e+00j)
 (1.073810675690618055e+01+0.000000000000000000e+00j), (1.073810731618031689e+01+0.000000000000000000e+00j), (1.073807742743334259e+01+0.000000000000000000e+00j), (1.073806670096858973e+01+0.000000000000000000e+00j), (1.073806595003333975e+01+0.000000000000000000e+00j), (1.073806585014888881e+01+0.000000000000000000e+00j)
 (1.087158876576478939e+01+0.000000000000000000e+00j), (1.087157994987909149e+01+0.000000000000000000e+00j), (1.087153454798830055e+01+0.000000000000000000e+00j), (1.087153243719959406e+01+0.000000000000000000e+00j), (1.087153256927422795e+01+0.000000000000000000e+00j), (1.087153215259361261e+01+0.000000000000000000e+00j)
 (1.087159157587324998e+01+0.000000000000000000e+00j), (1.087157873441498523e+01+0.000000000000000000e+00j), (1.087153561532143087e+01+0.000000000000000000e+00j), (1.087153232637537137e+01+0.000000000000000000e+00j), (1.087153233709331879e+01+0.000000000000000000e+00j), (1.087153217147525197e+01+0.000000000000000000e+00j)
 (1.092401460607877617e+01+0.000000000000000000e+00j), (1.092401269871773550e+01+0.000000000000000000e+00j), (1.092396456176089714e+01+0.000000000000000000e+00j), (1.092396258228998285e+01+0.000000000000000000e+00j), (1.092396234041820868e+01+0.000000000000000000e+00j), (1.092396225779266672e+01+0.000000000000000000e+00j)
 (1.092401797287007348e+01+0.000000000000000000e+00j), (1.092401399625491720e+01+0.000000000000000000e+00j), (1.092396429751487652e+01+0.000000000000000000e+00j), (1.092396299239043422e+01+0.000000000000000000e+00j), (1.092396270691738813e+01+0.000000000000000000e+00j), (1.092396256801819021e+01+0.000000000000000000e+00j)
 (1.092531033895028791e+01+0.000000000000000000e+00j), (1.092522477218407850e+01+0.000000000000000000e+00j), (1.092518453978496673e+01+0.000000000000000000e+00j), (1.092518112439484135e+01+0.000000000000000000e+00j), (1.092518042641638587e+01+0.000000000000000000e+00j), (1.092518062667512879e+01+0.000000000000000000e+00j)
 (1.092532323652764248e+01+0.000000000000000000e+00j), (1.092522513849243460e+01+0.000000000000000000e+00j), (1.092518634460956406e+01+0.000000000000000000e+00j), (1.092518171497899360e+01+0.000000000000000000e+00j), (1.092518115327204242e+01+0.000000000000000000e+00j), (1.092518134886546477e+01+0.000000000000000000e+00j)
 (1.109723980485533090e+01+0.000000000000000000e+00j), (1.109727119200683276e+01+0.000000000000000000e+00j), (1.109721997186522735e+01+0.000000000000000000e+00j), (1.109721771004771185e+01+0.000000000000000000e+00j), (1.109721744225316264e+01+0.000000000000000000e+00j), (1.109721725540956250e+01+0.000000000000000000e+00j)
 (1.109725813656597815e+01+0.000000000000000000e+00j), (1.109727706358019717e+01+0.000000000000000000e+00j), (1.109721937676075676e+01+0.000000000000000000e+00j), (1.109721742403876377e+01+0.000000000000000000e+00j), (1.109721754005157734e+01+0.000000000000000000e+00j), (1.109721735330734127e+01+0.000000000000000000e+00j)
 (1.122668621463261829e+01+0.000000000000000000e+00j), (1.122670839243937024e+01+0.000000000000000000e+00j), (1.122655678730937545e+01+0.000000000000000000e+00j), (1.122671969658122748e+01+0.000000000000000000e+00j), (1.122667559159222073e+01+0.000000000000000000e+00j), (1.122654102537205034e+01+0.000000000000000000e+00j)
 (1.123260677414057440e+01+0.000000000000000000e+00j), (1.123310642381709812e+01+0.000000000000000000e+00j), (1.123225627082812572e+01+0.000000000000000000e+00j), (1.123241493353981113e+01+0.000000000000000000e+00j), (1.123218430791222922e+01+0.000000000000000000e+00j), (1.123219367856490791e+01+0.000000000000000000e+00j)
 (1.123252334774621986e+01+0.000000000000000000e+00j), (1.123274250701781796e+01+0.000000000000000000e+00j), (1.123221531746072621e+01+0.000000000000000000e+00j), (1.123238227593999028e+01+0.000000000000000000e+00j), (1.123216963594010842e+01+0.000000000000000000e+00j), (1.123217930299925271e+01+0.000000000000000000e+00j)
